Id,Name
8365,Soulsow
8366,Soulsow (loop)
8419,Communio
8420,Communio (loop)
8421,Pneuma
8422,Pneuma (loop)
11539,Powerful Shot
11540,Powerful Shot (loop)
11543,Blast Charge
11544,Blast Charge (loop)
11768,Pom Motif
11769,Pom Motif (loop)
11932,Wing Motif
11933,Wing Motif (loop)
11934,Claw Motif
11935,Claw Motif (loop)
11936,Maw Motif
11937,Maw Motif (loop)
11938,Hammer Motif
11939,Hammer Motif (loop)
11940,Starry Sky Motif
11941,Starry Sky Motif (loop)
11945,Rainbow Drip
11946,Rainbow Drip (loop)
12117,Comet
12118,Comet (loop)
12119,Comet
