BaseId,MinionName
15090,cherry bomb
15091,mammet #001
15092,wayward hatchling
15093,Cait Sith doll
15094,baby behemoth
15095,mammet #003L
15096,mammet #003G
15097,mammet #003U
15098,storm hatchling
15099,serpent hatchling
15100,flame hatchling
15101,morbol seedling
15102,tiny rat
15103,baby bun
15104,chigoe larva
15105,bluebird
15106,wide-eyed fawn
15107,infant imp
15108,coeurl kitten
15109,black coeurl
15110,wind-up gentleman
15111,gravel golem
15112,wind-up tonberry
15113,tiny tortoise
15114,baby raptor
15115,baby bat
15116,tiny bulb
15117,dust bunny
15118,wind-up dullahan
15119,gigantpole
15120,pudgy puk
15121,buffalo calf
15122,cactuar cutting
15123,smallshell
15124,wolf pup
15125,beady eye
15126,fledgling dodo
15127,coblyn larva
15128,wind-up aldgoat
15129,fledgling apkallu
15130,goobbue sproutling
15131,bite-sized pudding
15132,model vanguard
15133,demon brick
15134,mini mole
15135,tender lamb
15136,slime puddle
15137,kidragora
15138,wind-up goblin
15139,wind-up sylph
15140,wind-up cursor
15141,wind-up airship
15142,wind-up Qiqirn
15143,black chocobo chick
15144,wind-up Dalamud
15145,minute mindflayer
15146,tight-beaked parrot
15147,wind-up Amalj'aa
15148,wind-up Ixal
15149,wind-up kobold
15150,wind-up Sahagin
15151,wind-up brickman
15152,wind-up Shantotto
15153,wind-up Edvya
15154,wind-up sun
15155,plush cushion
15157,Minion of Light
15158,Minion of Light
15159,Minion of Light
15161,wind-up Merlwyb
15162,wind-up Kan-E
15163,wind-up Raubahn
15164,princely hatchling
15165,wind-up Odin
15166,wind-up Warrior of Light
15167,wind-up Bahamut
15168,wind-up moogle
15169,baby opo-opo
15170,magic broom
15171,wind-up succubus
15172,zu hatchling
15173,wind-up Nanamo
15174,wind-up Gilgamesh
15175,Onion Prince
15176,Eggplant Knight
15177,Garlic Jester
15178,Tomato King
15179,Mandragora Queen
15180,wind-up Y'shtola
15181,wind-up onion knight
15182,treasure box
15183,tiny tapir
15184,Nana bear
15185,miniature minecart
15186,nutkin
15187,wind-up Minfilia
15188,wind-up Thancred
15189,model magitek bit
15190,puff of Darkness
15191,naughty nanka
15192,panda cub
15193,wind-up Ultros
15194,Hoary the Snowman
15195,heavy hatchling
15196,wind-up Yda
15197,wind-up Papalymo
15198,wind-up Urianger
15199,fat cat
15200,Littlefoot
15201,mummy's little mummy
15202,model Enterprise
15203,wind-up delivery moogle
15204,assassin fry
15205,demon box
15206,water imp
15207,wind-up Louisoix
15208,Midgardsormr
15210,Doman magpie
15211,Enkidu
15212,wind-up Violet
15213,wind-up founder
15214,wind-up Dezul Qualan
15215,wind-up kobolder
15216,wind-up Sea Devil
15217,chocobo chick courier
15218,wind-up Kain
15219,wind-up Alphinaud
15220,wind-up Alisaie
15221,wind-up Tataru
15222,wind-up Cid
15223,unicolt
15224,wind-up Gundu warrior
15225,atrophied Atomos
15226,owlet
15227,ugly duckling
15228,gaelikitten
15229,clockwork barrow
15230,lesser panda
15231,page 63
15232,iron dwarf
15233,griffin hatchling
15234,wind-up Iceheart
15235,Gestahl
15236,steam-powered gobwalker G-VII
15237,behemoth heir
15238,accompaniment node
15239,wind-up Yugiri
15240,Peridot Carbuncle
15241,Heliodor Carbuncle
15243,gold rush minecart
15244,set of Primogs
15245,wind-up Gnath
15246,paissa brat
15247,wind-up Illuminatus
15248,Pumpkin Butler
15249,wind-up Echidna
15250,wind-up Relm
15251,hunting hawk
15252,shalloweye
15253,penguin prince
15254,clockwork Twintania
15255,korpokkur kid
15256,wind-up Firion
15257,wind-up Ifrit
15258,wind-up Garuda
15259,wind-up Titan
15260,wind-up Leviathan
15261,wind-up Zundu warrior
15262,wind-up Haurchefant
15263,wind-up Nero tol Scaeva
15264,wind-up Vath
15265,faustlet
15266,dress-up Y'shtola
15267,Calca
15268,Brina
15269,morpho
15270,Poro Roggo
15271,spoony bard
15272,Fenrir pup
15273,wind-up dragonet
15274,wind-up Ramuh
15275,wind-up Shiva
15276,Piggy
15277,magic bucket
15278,calamari
15279,baby brachiosaur
15280,wind-up cheerleader
15281,wind-up Krile
15282,wind-up Aymeric
15283,pegasus colt
15284,wind-up Calofisteri
15285,wind-up sasquatch
15286,dwarf rabbit
15287,hecteye
15288,Taoist moogle
15289,Jibanyan
15290,Komasan
15291,Whisper
15292,Blizzaria
15293,Kyubi
15294,Komajiro
15295,Manjimutt
15296,Noko
15297,Venoct
15298,Shogunyan
15299,Hovernyan
15300,Robonyan F-type
15301,USApyon
15303,Namingway
15304,toy Alexander
15305,shaggy shoat
15306,dress-up Thancred
15307,dress-up Alisaie
15308,wind-up Edda
15309,wind-up Yuna
15310,wind-up Rikku
15311,wind-up Lulu
15313,wind-up Moenbryda
15314,Continental eye
15315,bullpup
15316,angel of mercy
15317,wind-up Estinien
15318,wind-up Hraesvelgr
15319,Gigi
15320,anima
15321,wind-up Scathach
15322,wind-up Nidhogg
15323,hellpup
15324,wind-up Ohl Deeh
15325,wind-up moon
15326,castaway chocobo chick
15327,wind-up Bartz
15328,wind-up red mage
15329,faepup
15330,odder otter
15331,fox kit
15332,Tora-jiro
15333,tiny tatsunoko
15334,bombfish
15335,Bom Boko
15336,road sparrow
15337,wind-up Lyse
15338,dress-up Yugiri
15339,wind-up Gosetsu
15340,wind-up Yotsuyu
15341,mock-up Grynewaht
15342,wind-up Namazu
15343,Ivon Coeurlfist doll
15344,wind-up chimera
15345,wind-up meateater
15346,magitek avenger F1
15347,Ghido
15348,wind-up Exdeath
15349,wind-up Khloe
15350,wind-up Susano
15351,wind-up Lakshmi
15352,wind-up Bismarck
15353,wind-up Hien
15354,wind-up Ravana
15355,wind-up Kojin
15356,mameshiba
15357,tengu doll
15358,wind-up Matanga
15359,wind-up Ramza
15360,koala joey
15361,salt & pepper seal
15362,axolotl eft
15363,wind-up Ixion
15364,wind-up Shinryu
15365,dress-up Raubahn
15366,wind-up Ananta
15367,private moai
15368,white whittret
15369,motley egg
15370,wind-up Kefka
15371,wind-up Magnai
15372,aurelia polyp
15373,Byakko cub
15374,wind-up Fafnir
15375,wind-up Mithra
15376,the Prince of Anemos
15377,komainu
15378,the Gold Whisker
15379,monkey king
