BaseId,NameId,Name,ModelCharaId,McType,McModel,McBase,McVariant,Scale
2,2012,restless raptor,96,3,24,1,1,1
3,176,foraging doe,61,3,15,1,1,1.2
4,460,foraging stag,62,3,15,2,1,1.3
5,184,South Shroud opo-opo,31,3,4,1,1,1.2
6,2020,leaping ringtail,32,3,4,1,2,1.2
7,1121,void jumper,53,3,11,1,1,2
8,481,greatwing ked,54,3,11,1,2,2
9,571,Thavnairian miteling,20,3,1,1,1,1
10,572,Thavnairian mite,21,3,1,2,1,1.5
11,2033,banemite straggler,22,3,1,3,1,2
12,2757,hungry buzzard,39,3,7,1,1,1.5
13,397,condor,40,3,7,1,2,1.5
14,202,greedy hoglet,46,3,8,1,3,0.9
15,502,greedy hog,44,3,8,1,1,1.2
16,15,wild hog,45,3,8,1,2,1.2
17,963,torchlight,100,3,26,1,1,2
20,110,skeleton soldier,17,2,1015,1,1,1.5
21,2169,gaunt slaveling,63,3,16,1,1,1.5
22,1085,ocean roseling,48,3,9,1,1,2
23,3341,violet flytrap,49,3,9,1,2,2
24,3343,Snakemolt treant,104,3,27,1,1,1
25,25,dryad,106,3,27,1,5,1
26,1040,horny toad,126,3,30,1,1,1.5
27,1757,winter nix,127,3,30,1,2,1.5
28,1071,truffle coeurl,69,3,17,2,1,1.5
29,29,dullahan,125,3,29,1,5,1.5
30,4286,wrothful golem,81,3,21,1,1,2
31,270879791,,71,3,18,1,1,1
32,203,leathervine microchu,35,3,5,1,2,0.5
33,33,ochu,34,3,5,1,1,1
34,506,spawning adamantoise,94,3,23,1,1,1
35,270855189,,89,3,22,1,1,1.5
36,1051,grain weevil,56,3,13,1,1,2
37,1101,pack rat,25,3,2,2,1,2
38,1146,wingrat,98,3,25,1,1,2
39,962,shore slug,50,3,10,1,1,2
40,1145,leafbleed hare,51,3,10,1,2,2
41,486,stinging syrphid cloud,59,3,14,1,2,1
42,1084,yarzon biter,75,3,19,1,1,1.2
43,181,carrion chigoe,36,3,6,1,1,2
44,2225,parasitic djigga,37,3,6,1,2,2
45,491,wandering wisp,79,3,20,1,2,1
46,1703,pure energy,80,3,20,1,3,1
47,199,stumbling funguar,28,3,3,1,1,1.5
48,166,sylph bonnet,29,3,3,1,2,1.5
49,1046,loverly ladybird,57,3,13,1,2,2
50,270990461,,121,3,29,1,1,1.5
51,269815996,,121,3,29,1,1,1.5
52,464,goblin outlaw,6,2,1004,1,1,1
53,462,snapscales,97,3,24,1,2,1
57,201,syrphid cloud,60,3,14,1,3,1
58,2032,trained deathgaze,233,3,64,1,1,1
59,7134,cloud sprite,385,3,153,1,5,1
65,62,pteroc,131,3,32,1,2,2
66,1021,moldy pudding,201,3,55,1,1,1.5
67,108,,7,2,1005,1,1,1
68,1073743916,,7,2,1005,1,1,1
69,269768264,,7,2,1005,1,1,1
70,1139,tempered sylvan scream,7,2,1005,1,1,1
71,68,sylpheed sigh,7,2,1005,1,1,1
72,69,sylpheed snarl,7,2,1005,1,1,1
73,1138,tempered sylvan sough,7,2,1005,1,1,1
74,270335052,,7,2,1005,1,1,1.5
75,269889549,,121,3,29,1,1,2
76,73,Galvanth the Dominator,71,3,18,1,1,1.5
77,74,Shredder,94,3,23,1,1,1
78,3669,starkshadow wyvern,35,3,5,1,2,1.5
94,1073742269,,107,3,28,1,1,1
95,270234663,,108,3,28,1,2,1
96,269017088,,110,3,28,1,4,1
97,269889549,,109,3,28,1,3,1
98,91,spriggan,107,3,28,1,1,2
99,91,spriggan,108,3,28,1,2,2
100,91,spriggan,110,3,28,1,4,2
101,91,spriggan,109,3,28,1,3,2
102,428,manor sentry,21,3,1,2,1,2
103,407,ringtail,21,3,1,2,1,2
104,1067,craven condor,22,3,1,3,1,2.5
105,443,comesmite,6,2,1004,1,1,1.5
106,613,red balloon,204,3,55,1,4,2
107,548,Kottos,12,2,1009,1,5,1.3
108,661,Ixali stillbeak,12,2,1009,1,5,1
