BaseId,TerritoryTypeId,Observations
2,137,31
3,153,26
4,153,37
5,135,6
5,154,17
7,147,1
8,153,5
9,154,22
11,154,26
11,1192,1
12,135,11
12,138,6
12,140,25
12,145,10
12,147,1
12,156,2
13,153,39
16,153,7
17,140,13
17,146,16
17,154,22
20,145,4
20,146,2
21,137,1
21,145,20
21,146,3
21,147,1
21,155,1
22,138,8
23,153,26
24,153,6
25,154,12
26,137,19
26,140,6
26,141,6
27,156,15
28,139,3
28,399,1
29,154,6
30,146,12
30,154,12
30,400,13
32,154,10
32,1190,1
33,153,9
34,153,36
36,139,13
36,140,2
36,145,30
37,154,12
38,135,6
38,138,12
38,141,29
39,134,1
40,154,18
41,141,79
41,145,54
41,153,76
42,140,13
42,146,14
42,154,5
44,155,1
45,153,5
45,155,6
46,154,2
46,155,3
46,156,3
49,134,25
49,135,61
49,140,27
49,154,32
52,153,7
57,134,96
57,146,61
66,146,1
101,141,5
101,147,2
109,140,2
110,140,3
111,140,2
113,154,7
113,155,7
114,154,4
114,155,3
115,154,7
115,155,3
116,155,5
117,137,16
118,134,92
118,135,35
130,153,33
130,154,21
134,146,31
135,135,91
135,138,7
135,156,84
135,400,236
135,402,92
135,614,44
135,620,48
135,621,56
135,1191,4
136,137,60
136,140,94
136,154,21
136,1191,1
138,134,32
138,135,113
138,138,4
138,140,22
138,145,17
139,138,2
139,139,16
139,155,9
139,156,7
140,156,13
141,154,5
141,155,2
141,398,1
143,153,23
143,155,17
159,139,6
159,153,14
160,141,15
161,153,8
166,145,5
166,146,26
167,145,2
167,146,14
168,145,4
168,146,7
168,1192,1
169,146,11
170,137,4
170,145,6
170,153,7
170,154,2
172,140,37
173,147,46
174,146,44
175,140,28
176,146,35
177,146,5
178,137,10
179,154,9
180,137,2
181,138,8
181,145,10
182,147,2
183,135,2
183,147,14
187,140,59
188,145,11
188,147,17
188,957,1
190,146,19
190,400,25
191,137,2
191,155,15
191,400,34
192,146,7
193,145,41
194,140,1
194,145,65
197,141,28
197,146,4
200,147,5
201,137,4
201,140,6
201,141,4
201,147,1
201,156,5
201,402,14
203,145,16
204,145,12
205,135,20
205,138,4
205,140,4
205,141,44
206,138,3
206,145,133
217,137,1
261,146,8
261,156,1
302,140,13
302,141,18
302,153,24
303,139,6
304,153,21
305,145,2
305,153,5
305,155,3
306,135,30
306,138,1
306,145,2
312,137,23
312,138,3
313,135,10
313,140,29
314,137,8
320,137,23
321,137,2
322,137,39
323,134,4
324,135,45
325,137,10
326,134,22
326,135,78
326,137,2
327,137,2
327,147,9
328,137,6
328,139,9
329,137,6
329,139,11
330,139,4
331,137,7
333,138,3
334,138,1
338,134,8
339,135,62
339,138,3
340,138,13
341,134,64
341,138,7
342,134,9
342,140,5
343,139,17
344,139,16
345,139,13
346,139,15
347,134,21
347,135,20
347,155,1
351,140,20
351,141,34
356,140,4
356,146,15
357,146,31
358,146,6
382,135,1
382,139,2
382,140,12
383,134,40
383,139,10
384,137,15
385,134,36
385,141,74
386,137,26
386,399,23
387,137,1
387,155,30
387,156,1
387,398,19
388,155,24
389,137,3
389,139,33
389,140,11
390,155,10
394,155,5
395,155,49
397,138,4
398,155,11
398,398,19
399,145,10
399,402,30
403,155,26
431,140,47
431,141,30
432,141,46
491,153,1
497,154,1
513,155,1
548,135,1
603,154,1
603,156,1
611,153,3
644,155,15
645,147,1
645,156,20
646,155,11
647,156,8
719,155,96
720,155,86
721,155,6
721,156,2
722,155,5
723,155,4
727,156,13
728,156,14
729,156,13
730,156,5
730,1192,1
731,155,45
732,398,36
735,141,3
735,145,4
736,141,3
737,145,4
739,146,10
740,145,2
740,146,25
741,146,21
742,146,30
743,154,6
744,154,6
745,154,6
745,1188,1
747,154,7
747,155,2
748,155,1
749,155,1
750,155,2
751,135,6
752,135,6
754,135,6
765,138,12
766,138,11
767,138,15
768,138,14
769,134,11
769,138,3
769,140,5
769,147,2
771,135,8
771,141,8
777,156,11
837,146,2
838,145,1
840,140,1
841,140,2
844,145,1
846,145,2
846,146,4
847,145,3
861,137,4
952,134,8
952,135,24
952,137,18
952,139,6
952,140,13
952,141,4
952,145,6
952,146,7
952,147,10
952,153,13
952,154,5
952,155,23
952,156,24
952,397,12
952,398,8
952,399,1
952,400,11
952,401,9
952,612,4
952,613,6
952,614,5
952,620,1
952,621,6
952,622,1
952,813,19
952,814,18
952,815,16
952,816,32
952,817,11
952,818,40
952,956,12
952,957,64
952,958,15
952,959,12
952,960,29
952,961,26
952,1187,310
952,1188,419
952,1189,619
952,1190,591
952,1191,342
952,1192,229
990,959,1
990,1189,1
1009,1190,3
1010,137,2
1010,147,5
1043,155,1
1043,1189,2
1045,1189,2
1046,959,2
1048,1189,2
1050,1192,2
1055,154,7
1055,813,1
1064,1192,1
1095,146,1
1096,146,2
1113,145,5
1113,1188,1
1222,134,1
1223,134,1
1225,135,2
1230,135,2
1232,138,1
1234,138,1
1235,138,1
1257,135,4
1267,140,2
1268,140,1
1269,140,1
1274,141,1
1281,145,1
1282,145,2
1283,145,2
1286,146,1
1310,145,1
1391,134,1
1405,138,5
1406,145,1
1407,134,2
1408,137,6
1420,137,10
1425,138,1
1445,140,12
1445,141,17
1446,154,7
1447,134,15
1447,135,20
1455,137,1
1466,137,1
1467,137,1
1478,137,1
1780,155,1
1781,155,1
1782,155,1
1784,155,1
1789,156,2
1789,1191,1
1794,155,1
1795,156,2
1796,156,1
1799,156,1
1800,147,1
1816,156,1
1818,155,1
1818,156,2
1819,156,1
1820,156,2
1821,156,2
