BaseId,TerritoryId,NameId,Label,SourceModule
884,159,1547,Boss,RealmReborn/Dungeon/D15WanderersPalace
931,159,0,Tonberry,RealmReborn/Dungeon/D15WanderersPalace
1052,159,1548,Boss,RealmReborn/Dungeon/D15WanderersPalace
1053,159,1549,Boss,RealmReborn/Dungeon/D15WanderersPalace
1054,159,0,WhiteBavarois,RealmReborn/Dungeon/D15WanderersPalace
1055,159,0,GreenBavarois,RealmReborn/Dungeon/D15WanderersPalace
1057,159,0,PurpleBavarois,RealmReborn/Dungeon/D15WanderersPalace
1058,159,0,BlueBavarois,RealmReborn/Dungeon/D15WanderersPalace
2261,159,0,TonberrySlasher,RealmReborn/Dungeon/D15WanderersPalace
643,167,1694,Boss,RealmReborn/Dungeon/D16Amdapor
1484,167,1696,Boss,RealmReborn/Dungeon/D16Amdapor
1485,167,0,DarkHelot,RealmReborn/Dungeon/D16Amdapor
1486,167,0,DarkNova,RealmReborn/Dungeon/D16Amdapor
1488,167,0,BossP2,RealmReborn/Dungeon/D16Amdapor
1489,167,1689,BossP1,RealmReborn/Dungeon/D16Amdapor
1490,167,0,StoneMarionette,RealmReborn/Dungeon/D16Amdapor
1491,167,0,MarbleMarionette,RealmReborn/Dungeon/D16Amdapor
1492,167,0,MegalithMarionette,RealmReborn/Dungeon/D16Amdapor
2347,174,706,Boss,RealmReborn/Alliance/A11BoneDragon
2349,174,0,Platinal,RealmReborn/Alliance/A11BoneDragon
2350,174,710,Boss,RealmReborn/Alliance/A13Thanatos
2352,174,0,Nemesis,RealmReborn/Alliance/A13Thanatos
2354,174,727,Boss,RealmReborn/Alliance/A15KingBehemoth
2356,174,0,Puroboros,RealmReborn/Alliance/A15KingBehemoth
2357,174,0,IronGiant,RealmReborn/Alliance/A15KingBehemoth
2358,174,0,Comet,RealmReborn/Alliance/A15KingBehemoth
2360,174,732,Boss,RealmReborn/Alliance/A16Phlegethon
2362,174,0,IronClaws,RealmReborn/Alliance/A16Phlegethon
2403,174,1872,Boss,RealmReborn/Alliance/A12Atomos
2404,174,0,Valefor,RealmReborn/Alliance/A12Atomos
2405,174,0,GreaterDemon,RealmReborn/Alliance/A12Atomos
2406,174,0,Dira,RealmReborn/Alliance/A12Atomos
2407,174,1873,Boss,RealmReborn/Alliance/A14AllaganBomb
2408,174,0,AllaganBalloon,RealmReborn/Alliance/A14AllaganBomb
2409,174,0,AllaganNapalm,RealmReborn/Alliance/A14AllaganBomb
2410,174,0,Vassago,RealmReborn/Alliance/A14AllaganBomb
2434,174,0,RottingEye,RealmReborn/Alliance/A11BoneDragon
2435,174,0,Sandman,RealmReborn/Alliance/A13Thanatos
2436,174,0,IronGiant,RealmReborn/Alliance/A16Phlegethon
3426,189,3274,Boss,RealmReborn/Dungeon/D31AmdaporKeepHard
3428,189,0,Luminescence,RealmReborn/Dungeon/D31AmdaporKeepHard
2007,241,1466,Boss,RealmReborn/Raid/T01Caduceus
2008,241,0,DarkMatterSlime,RealmReborn/Raid/T01Caduceus
2183,241,1459,Boss,RealmReborn/Raid/T01Caduceus
2184,241,0,PatrolNode,RealmReborn/Raid/T01Caduceus
2185,241,0,AttackNode,RealmReborn/Raid/T01Caduceus
2186,241,0,DefenseNode,RealmReborn/Raid/T01Caduceus
2009,242,1459,ADS,RealmReborn/Raid/T02MultiADS
2010,242,1468,QuarantineNode,RealmReborn/Raid/T02MultiADS
2011,242,1469,AttackNode,RealmReborn/Raid/T02MultiADS
2012,242,1470,SanitaryNode,RealmReborn/Raid/T02MultiADS
2013,242,1471,MonitoringNode,RealmReborn/Raid/T02MultiADS
2014,242,1472,DefenseNode,RealmReborn/Raid/T02MultiADS
2015,242,1473,DisposalNode,RealmReborn/Raid/T02MultiADS
434,244,0,DriveCylinder,RealmReborn/Raid/T04Gauntlet
2016,244,0,ClockworkBug,RealmReborn/Raid/T04Gauntlet
2017,244,0,ClockworkSoldier,RealmReborn/Raid/T04Gauntlet
