name,locations
"129th Order priest","The Floating City of Nym"
"12th Legion armored weapon","Central Compound"
"12th Legion avenger","Storage Compound;Palace Gardens"
"12th Legion bit","Storage Compound"
"12th Legion canis pugnax","Storage Compound;Palace Gardens"
"12th Legion death claw","Assessment Grounds"
"12th Legion gunship","Loch Seld"
"12th Legion hexadrone","Palace Shadows"
"12th Legion laquearius","Rhalgr's Reach;Storage Compound;Anshelm March;Noble District;Palace Gardens"
"12th Legion packer","Assessment Grounds"
"12th Legion predator","Anshelm March"
"12th Legion princeps","East End"
"12th Legion rearguard","Central Compound;Palace Gardens"
"12th Legion roader","Testing Compound;Noble District"
"12th Legion signifer","Rhalgr's Reach;Storage Compound"
"12th Legion slasher","East End;Central Compound;Palace Shadows"
"12th Legion vanguard","The High Bank;Storage Compound"
"13th Child","Living Memory"
"13th Order patrolman","U'Ghamaro Mines"
"13th Order priest","U'Ghamaro Mines"
"179th Order fugleman","Zelma's Run"
"179th Order prelate","Zelma's Run"
"271st Order watchman","Iron Lake"
"382nd Order Pickman Ge Bu","Poor Maid's Mill"
"3rd Cohort canis pugnax","Castrum Oriens (Baelsar's Wall)"
"3rd Cohort vanguard","Larkscall"
"426th Order Mendicant Zi Gu","Bloodshore"
"426th Order Pickman Bu Ga","House of Sticks"
"4th Legion armored weapon","The Alermuc Climb;The Western Plateau"
"4th Legion avenger","Old Bozja"
"4th Legion colossus","The Western Plateau"
"4th Legion death claw","Southern Entrenchment"
"4th Legion death machine","The Western Plateau"
"4th Legion gunship","Old Bozja;The Southern Plateau"
"4th Legion hexadrone","The Alermuc Climb;The Southern Plateau"
"4th Legion infantry","The Southern Plateau"
"4th Legion nimrod","Southern Entrenchment;The Southern Plateau"
"4th Legion roader","Southern Entrenchment"
"4th Legion satellite","The Western Plateau"
"4th Legion scorpion","The Alermuc Climb"
"4th Legion sky armor","Orphaned Ruins"
"4th Legion slasher","Southern Entrenchment"
"4th Legion vanguard","Old Bozja"
"596th Order scout","The Long Climb"
"59th Order Bedesman Bi Go","U'Ghamaro Mines"
"59th Order Matriarch Go Zu","Iron Lake"
