Skel,McType,NumAnim,Names
d0001,demihuman,40,cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbnm_01b_lp0 cbnm_01f_lp0 cbnm_01l_lp0 cbnm_01r_lp0 cbnm_02f_lp0 cbnm_02l_lp0 cbnm_02r_lp0 cbnm_fmt_01b_lp0 cbnm_fmt_01f_lp0 cbnm_fmt_01l_lp0 cbnm_fmt_01r_lp0 cbnm_fmt_02f_lp0 cbnm_fmt_02l_lp0 cbnm_fmt_02r_lp0 cbnm_fmt_glide_lp cbnm_fmt_id0 cbnm_fmt_takeoff cbnm_fmt_up cbnm_id0 cbnm_jump_1 cbnm_jump_2 cbnm_jump_3 cbnm_swu_01b_lp0 cbnm_swu_01f_lp0 cbnm_swu_01l_lp0 cbnm_swu_01r_lp0 cbnm_swu_02f_lp0 cbnm_swu_02l_lp0 cbnm_swu_02r_lp0 cbnm_swu_dive1 cbnm_swu_dive2 cbnm_swu_down cbnm_swu_glide_lp cbnm_swu_id0 cbnm_swu_rise1 cbnm_swu_rise2 cbnm_swu_up cbnp_1_by_eqp
d0002,demihuman,41,cbbm_02f_lp0 cbbm_ded cbbm_dedpose cbbm_trn_l_lp cbbm_trn_r_lp cbnm_01b_lp0 cbnm_01f_lp0 cbnm_01l_lp0 cbnm_01r_lp0 cbnm_02f_lp0 cbnm_02l_lp0 cbnm_02r_lp0 cbnm_fmt_01b_lp0 cbnm_fmt_01f_lp0 cbnm_fmt_01l_lp0 cbnm_fmt_01r_lp0 cbnm_fmt_02f_lp0 cbnm_fmt_02l_lp0 cbnm_fmt_02r_lp0 cbnm_fmt_down cbnm_fmt_falling cbnm_fmt_glide_lp cbnm_fmt_id0 cbnm_fmt_landing cbnm_fmt_takeoff cbnm_fmt_up cbnm_id0 cbnm_jump_1 cbnm_jump_2 cbnm_jump_3 cbnm_mt_ded cbnm_sp_a_1 cbnm_sp_a_2lp cbnm_sp_b_1 cbnm_sp_b_2lp cbnm_swu_dive1 cbnm_swu_dive2 cbnm_swu_rise1 cbnm_swu_rise2 cbnm_trn_l_lp cbnm_trn_r_lp
d1001,demihuman,8,cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_2lp cbfa_add_all cbnm_01f_lp0 cbnm_id0
d1002,demihuman,7,cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbfa_add_all cbfa_add_no cbfa_add_yes cbnm_01f_lp0 cbnm_id0
d1003,demihuman,11,cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbfa_add_all cbfa_add_no cbfa_add_yes cbnm_01f_lp0 cbnm_id0
d1004,demihuman,6,cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbfa_add_all cbnm_01f_lp0 cbnm_id0
d1005,demihuman,5,cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbfa_add_all cbnm_01f_lp0 cbnm_id0
d1006,demihuman,1,cbnm_id0
d1007,demihuman,15,cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_d_1 cbbm_sp_d_2lp cbbm_sp_f_2lp cbfa_add_all cbfa_add_no cbfa_add_yes cbnm_01f_lp0 cbnm_id0 cbnm_swu_01f_lp0 cbnm_swu_02f_lp0 cbnm_swu_id0
d1008,demihuman,6,cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_a_2lp cbbm_sp_b_2lp cbnm_01f_lp0 cbnm_id0
d1009,demihuman,9,cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_a_2lp cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbnm_01f_lp0 cbnm_id0
d1010,demihuman,1,cbbm_sp_a_2lp
d1011,demihuman,28,cbnm_01b_lp0 cbnm_01f_lp0 cbnm_01l_lp0 cbnm_01r_lp0 cbnm_02f_lp0 cbnm_02l_lp0 cbnm_02r_lp0 cbnm_fmt_01b_lp0 cbnm_fmt_01f_lp0 cbnm_fmt_01l_lp0 cbnm_fmt_01r_lp0 cbnm_fmt_02f_lp0 cbnm_fmt_02l_lp0 cbnm_fmt_02r_lp0 cbnm_fmt_down cbnm_fmt_glide_lp cbnm_fmt_id0 cbnm_fmt_landing cbnm_fmt_takeoff cbnm_fmt_up cbnm_id0 cbnm_jump_1 cbnm_jump_2 cbnm_jump_3 cbnm_swu_dive1 cbnm_swu_dive2 cbnm_swu_rise1 cbnm_swu_rise2
d1012,demihuman,6,cbfa_add_all cbfa_add_no cbfa_add_question cbfa_add_yes cbnm_01f_lp0 cbnm_id0
d1013,demihuman,3,cbnm_id0 cbnm_trn_l_lp cbnm_trn_r_lp
d1014,demihuman,12,cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbbm_sp_d_1 cbbm_sp_d_2lp cbbm_sp_e_1 cbbm_sp_e_2lp cbnm_01f_lp0 cbnm_id0
d1015,demihuman,4,cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_a_2lp cbnm_01f_lp0
d1016,demihuman,4,cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_a_2lp cbnm_id0
d1017,demihuman,5,cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_a_2lp cbnm_01f_lp0 cbnm_id0
d1018,demihuman,1,cbnm_id0
d1019,demihuman,13,cbfa_add_all cbfa_add_chest_normal_long cbfa_add_chest_normal_middle cbfa_add_chest_normal_short cbfa_add_chest_shout_long cbfa_add_chest_shout_middle cbfa_add_chest_shout_short cbfa_add_chest_whisper_long cbfa_add_chest_whisper_middle cbfa_add_chest_whisper_short cbfa_add_no cbfa_add_yes cbnm_id0
d1020,demihuman,9,cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbfa_add_all cbfa_add_no cbfa_add_question cbfa_add_talk cbfa_add_yes cbnm_01f_lp0 cbnm_id0
d1021,demihuman,4,cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbnm_01f_lp0 cbnm_id0
d1022,demihuman,37,cbnm_01b_lp0 cbnm_01f_lp0 cbnm_01l_lp0 cbnm_01r_lp0 cbnm_02f_lp0 cbnm_02l_lp0 cbnm_02r_lp0 cbnm_fmt_01b_lp0 cbnm_fmt_01f_lp0 cbnm_fmt_01l_lp0 cbnm_fmt_01r_lp0 cbnm_fmt_02f_lp0 cbnm_fmt_02l_lp0 cbnm_fmt_02r_lp0 cbnm_fmt_glide_lp cbnm_fmt_id0 cbnm_fmt_takeoff cbnm_fmt_up cbnm_id0 cbnm_jump_1 cbnm_jump_2 cbnm_jump_3 cbnm_swu_01b_lp0 cbnm_swu_01f_lp0 cbnm_swu_01l_lp0 cbnm_swu_01r_lp0 cbnm_swu_02f_lp0 cbnm_swu_02l_lp0 cbnm_swu_02r_lp0 cbnm_swu_dive1 cbnm_swu_dive2 cbnm_swu_down cbnm_swu_glide_lp cbnm_swu_id0 cbnm_swu_rise1 cbnm_swu_rise2 cbnm_swu_up
d1023,demihuman,15,cbfa_add_all cbfa_add_chest_normal_long cbfa_add_chest_normal_middle cbfa_add_chest_normal_short cbfa_add_chest_shout_long cbfa_add_chest_shout_middle cbfa_add_chest_shout_short cbfa_add_chest_whisper_long cbfa_add_chest_whisper_middle cbfa_add_chest_whisper_short cbfa_add_no cbfa_add_question cbfa_add_yes cbnm_01f_lp0 cbnm_id0
d1024,demihuman,2,cbbm_sp_c_1 cbbm_sp_c_2lp
d1025,demihuman,1,cbbm_mgc_thm_3
d1026,demihuman,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3
d1027,demihuman,13,cbbm_mgc_thm_3 cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbfa_add_all cbfa_add_no cbfa_add_question cbfa_add_talk cbfa_add_yes cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0
