Id,Cat,Skel,Key
1,common,,battle/battle_start
2,common,,battle/battle_end
3,common,,normal/idle
4,common,,normal/idle_inactive1
5,common,,normal/idle_inactive2
6,common,,normal/idle_inactive3
7,common,,normal/turn_loop_l
8,common,,normal/turn_loop_r
13,common,,normal/walk
14,common,,normal/walk_l
15,common,,normal/walk_r
16,common,,normal/walk_b
22,common,,normal/run
23,common,,normal/run_l
24,common,,normal/run_r
25,common,,normal/run_start
26,common,,normal/run_start_br
27,common,,normal/run_start_bl
30,common,,normal/sprint
31,common,,normal/jump_start
32,common,,normal/jump_falling
33,common,,normal/jump_landing
34,common,,battle/idle
35,common,,battle/turn_loop_l
36,common,,battle/turn_loop_r
41,common,,battle/walk
42,common,,battle/walk_l
43,common,,battle/walk_r
44,common,,battle/walk_b
50,common,,battle/run
51,common,,battle/run_l
52,common,,battle/run_r
58,common,,battle/sprint
59,common,,battle/jump_start
60,common,,battle/jump_falling
61,common,,battle/jump_landing
62,common,,normal/damage
63,common,,normal/damage_continuous
64,common,,normal/knockback_start
65,common,,normal/knockback_end
66,common,,normal/dead
67,common,,normal/dead_pose
68,common,,battle/damage
69,common,,battle/damage_continuous
70,common,,battle/knockback_start
71,common,,battle/knockback_end
72,common,,battle/dead
73,common,,battle/dead_pose
74,common,,battle/mon_float_dead_start
75,common,,battle/mon_float_dead_loop
76,common,,battle/mon_float_dead_landing
77,common,,normal/revive
78,common,,battle/weapon_guard
79,common,,battle/shield_guard
80,common,,normal/event_action_start
81,common,,normal/event_action_loop
82,common,,normal/event_action_end
83,common,,normal/item_start
84,common,,normal/item_loop
85,common,,normal/item_end
86,common,,normal/item_set
87,common,,normal/item_eat
88,common,,normal/item_drink
89,common,,battle/item_start
90,common,,battle/item_loop
91,common,,battle/item_end
92,common,,normal/magic_cmn_start
93,common,,normal/magic_cmn_loop
94,common,,battle/magic_blk_start
95,common,,battle/magic_blk_loop
96,common,,battle/magic_sng_start
97,common,,battle/magic_sng_loop
98,common,,battle/magic_cnj_start
99,common,,battle/magic_cnj_loop
100,common,,battle/magic_swl_start
101,common,,battle/magic_swl_loop
102,common,,battle/magic_pld_start
103,common,,battle/magic_pld_loop
104,common,,battle/magic_sum_start
105,common,,battle/magic_sum_loop
106,common,,battle/magic_thm_start
107,common,,battle/magic_thm_loop
108,common,,battle/magic_wht_start
109,common,,battle/magic_wht_loop
110,common,,battle/magic_sch_start
111,common,,battle/magic_sch_loop
112,common,,battle/auto_attack1
113,common,,battle/auto_attack2
114,common,,battle/auto_attack3
118,common,,battle/auto_attack_shot1
119,common,,battle/auto_attack_shot2
120,common,,battle/auto_attack_shot3
121,common,,battle/auto_attack1_mon_a
122,common,,battle/auto_attack2_mon_a
123,common,,battle/auto_attack3_mon_a
124,common,,battle/auto_attack1_mon_b
125,common,,battle/auto_attack2_mon_b
126,common,,battle/auto_attack3_mon_b
127,common,,battle/auto_attack_shot1_mon
128,common,,battle/auto_attack_shot2_mon
129,common,,battle/auto_attack_shot3_mon
130,common,,battle/mon_sp_a_start
131,common,,battle/mon_sp_a_loop
132,common,,battle/mon_sp_b_start
133,common,,battle/mon_sp_b_loop
134,common,,battle/mon_sp_c_start
135,common,,battle/mon_sp_c_loop
136,common,,battle/mon_sp_d_start
137,common,,battle/mon_sp_d_loop
138,common,,battle/mon_sp_e_start
139,common,,battle/mon_sp_e_loop
148,common,,battle/partsbreak
150,common,,normal/event_action_default_end
151,common,,normal/event_action_hwd_end
155,common,,normal/idle_bow_loop
156,common,,battle/knockback_start_pc
157,common,,battle/knockback_end_pc
161,common,,normal/guildleave
162,common,,normal/matering
163,common,,normal/dejon
164,common,,normal/telepo
169,common,,normal/aettouch_start
170,common,,normal/aettouch_loop
171,common,,normal/aettouch_end
172,common,,normal/touchaction_start
173,common,,normal/touchaction_loop
174,common,,normal/touchaction_end
175,common,,normal/lookaction_start
176,common,,normal/lookaction_loop
177,common,,normal/lookaction_end
178,common,,normal/fueaction_start
179,common,,normal/fueaction_loop
180,common,,normal/fueaction_end
181,common,,normal/searchaction_start
182,common,,normal/searchaction_loop
183,common,,normal/searchaction_end
184,common,,normal/opeaction_start
185,common,,normal/opeaction_loop
186,common,,normal/opeaction_end
187,common,,normal/callpet_start
188,common,,normal/callpet_loop
189,common,,normal/callpet_end
192,common,,normal/cannon_1
197,common,,normal/throw_firecrackers
200,common,,battle/knockback_start_pc
201,common,,battle/knockback_end_pc
208,common,,normal/carry_upper_loop
209,common,,normal/treasure_search
214,common,,normal/katagami_action
216,common,,normal/materia_transcription
296,common,,normal/farm_seed
297,common,,normal/farm_watering
298,common,,normal/farm_care
299,common,,normal/farm_manure
300,common,,normal/farm_harvest
578,common,,normal/item_sp01_start
579,common,,normal/item_sp01_loop
580,common,,normal/item_sp01_end
783,common,,normal/idle
1093,monster,m0162,mon_sp/m0162/mon_sp001
1102,monster,m0024,mon_sp/m0024/mon_sp001
1103,monster,m0024,mon_sp/m0024/mon_sp002
1104,monster,m0015,mon_sp/m0015/mon_sp001
1105,monster,m0015,mon_sp/m0015/mon_sp002
1106,monster,m0015,mon_sp/m0015/mon_sp003
1107,monster,m0004,mon_sp/m0004/mon_sp001
1108,monster,m0004,mon_sp/m0004/mon_sp002
1109,monster,m0004,mon_sp/m0004/mon_sp003
1110,monster,m0011,mon_sp/m0011/mon_sp001
1111,monster,m0011,mon_sp/m0011/mon_sp002
1112,monster,m0001,mon_sp/m0001/mon_sp001
1113,monster,m0001,mon_sp/m0001/mon_sp002
1114,monster,m0001,mon_sp/m0001/mon_sp003
1115,monster,m0001,mon_sp/m0001/mon_sp004
1116,monster,m0007,mon_sp/m0007/mon_sp001
1117,monster,m0007,mon_sp/m0007/mon_sp002
1118,monster,m0007,mon_sp/m0007/mon_sp003
1119,monster,m0008,mon_sp/m0008/mon_sp001
1120,monster,m0008,mon_sp/m0008/mon_sp002
1121,monster,m0008,mon_sp/m0008/mon_sp003
1122,monster,m0026,mon_sp/m0026/mon_sp001
1123,monster,m0026,mon_sp/m0026/mon_sp002
1124,monster,m0026,mon_sp/m0026/mon_sp003
1125,monster,m0060,mon_sp/m0060/mon_sp023
1129,monster,m0009,mon_sp/m0009/mon_sp001
1130,monster,m0009,mon_sp/m0009/mon_sp002
1131,monster,m0009,mon_sp/m0009/mon_sp003
1132,monster,m0030,mon_sp/m0030/mon_sp001
1133,monster,m0030,mon_sp/m0030/mon_sp002
1134,monster,m0030,mon_sp/m0030/mon_sp003
1135,monster,m0017,mon_sp/m0017/mon_sp001
1136,monster,m0017,mon_sp/m0017/mon_sp002
1137,monster,m0017,mon_sp/m0017/mon_sp003
1138,monster,m0017,mon_sp/m0017/mon_sp004
1139,monster,m0017,mon_sp/m0017/mon_sp005
1140,monster,m0017,mon_sp/m0017/mon_sp006
1141,monster,m0029,mon_sp/m0029/mon_sp001
1142,monster,m0029,mon_sp/m0029/mon_sp002
1143,monster,m0029,mon_sp/m0029/mon_sp003
1144,monster,m0029,mon_sp/m0029/mon_sp004
1145,monster,m0029,mon_sp/m0029/mon_sp005
1146,monster,m0018,mon_sp/m0018/mon_sp001
1147,monster,m0018,mon_sp/m0018/mon_sp002
1148,monster,m0005,mon_sp/m0005/mon_sp001
1149,monster,m0005,mon_sp/m0005/mon_sp002
